Date,Title,Content
3/7/2024,Bitcoin Spot Trading Volume Peaks to a 12-Month High Amidst Renewed Retail Interest,"According to Cointelegraph: Increased retail interest in Bitcoin has led to an all-time yearly high in BTC spot trading volume across centralized exchanges. As of March 5, the combined daily volume stood at a whopping $46.26 billion, demonstrating that more retail investors are purchasing Bitcoin. The spot trading volume, however, mellowed to $31.32 billion on March 6, with Binance accounting for more than 74% of this figure. Bitcoin trading volume across large CEXs. Source: Kaiko Mallika Kollar, quantitative research associate at Bitwise, acknowledged this growing retail interest by noting that 'spot trading volume has shot up almost 680% since the start of the year.' Coinciding with this trading volume spike is a fresh record in daily inflows for spot Bitcoin ETFs. On March 5, the 10 U.S. spot Bitcoin ETFs achieved a collective daily trading volume of $10 billion, surpassing the previous $7.7 billion record. Accompanying these high volumes, the Bitcoin price soared, reaching an all-time high of over $69,200 on March 5. Retail interest seems also to be climbing in South Korea, which reported prices as high as $72,000 on the country's largest cryptocurrency exchange, UpBit – this phenomenon is commonly referred to as the 'Kimchi premium'. BTC/USD, 7-day chart, Source: CoinMarketCap A similar interest uptick can be seen in the number of addresses holding at least $10 worth of Bitcoin increasing to an all-time high of over 35 million as of March 6. Number of Bitcoin addresses worth $10 or over. Source: Glassnode Meanwhile, Bitcoin transfers to Coinbase, the largest U.S-based exchange, are nearing their 2022 peak, implying that investors could potentially position themselves to take profits at current price levels."
3/7/2024,"Bitcoin (BTC) Drops Below 66,000 USDT with a Narrowed 4.32% Increase in 24 Hours","On Mar 07, 2024, 03:39 AM (UTC). According to Binance Market Data, Bitcoin has dropped below 66,000 USDT and is now trading at 65,943.328125 USDT, with a narrowed 4.32% increase in 24 hours."
3/7/2024,US Bitcoin Spot ETF Records $332 Million Net Inflow,"According to BlockBeats, on March 7th, HODL15Capital reported that the US Bitcoin spot ETF experienced a net inflow of $332 million on March 6th. This significant inflow demonstrates the growing interest in Bitcoin and cryptocurrency investments among investors. The US Bitcoin spot ETF provides an accessible and regulated way for individuals and institutions to gain exposure to the cryptocurrency market. As the popularity of Bitcoin and other cryptocurrencies continues to rise, it is expected that more investors will seek opportunities to invest in these digital assets through various financial products, such as ETFs."
3/7/2024,CME Bitcoin Open Interest Hits Record High of $9.6 Billion,"According to cryptocurrency data analytics platform, Coinglass, the Chicago Mercantile Exchange (CME) has recorded a milestone in Bitcoin open interest, reaching an all-time high of $9.6 billion."
3/7/2024,"Bitcoin (BTC) Surpasses 67,000 USDT with a 0.66% Increase in 24 Hours","On Mar 07, 2024, 11:05 AM (UTC). According to Binance Market Data, Bitcoin has crossed the 67,000 USDT benchmark and is now trading at 67,090 USDT, with a 0.66% increase in 24 hours."
3/7/2024,BlackRock Applies for Bitcoin ETF Exposure in Global Allocation Fund,"According to PANews, a public regulatory filing reveals that BlackRock has applied to the US Securities and Exchange Commission (SEC) to add Bitcoin spot ETF exposure to its Global Allocation Fund. The document states, 'The fund may purchase shares of Bitcoin exchange-traded products (ETPs), including Bitcoin ETPs managed and issued by BlackRock affiliates.' Earlier this week, BlackRock had also applied to the SEC to add Bitcoin exposure to its Strategic Income Opportunities Portfolio."
3/7/2024,"Bitcoin (BTC) Drops Below 67,000 USDT with 1.34% Increase in 24 Hours","On Mar 07, 2024, 23:17 PM (UTC). According to Binance Market Data, Bitcoin has dropped below 67,000 USDT and is now trading at 66,992.546875 USDT, with a narrowed 1.34% increase in 24 hours."
3/7/2024,Bitcoin Ordinals Wallet Oyl Raises $3 Million in Pre-Seed Funding,"According to CoinDesk, Bitcoin Ordinals wallet Oyl has raised $3 million in pre-seed funding from investors, including crypto entrepreneur Arthur Hayes and pseudonymous BRC-20 token standard creator Domo. The funding round was led by Arca, a venture firm primarily focused on Ethereum non-fungible tokens (NFTs). Other Ethereum NFT funds, such as Kanosei and FlamingoDAO, also participated in the investment, marking their first involvement in a Bitcoin-focused company. Oyl is set to launch in the coming weeks and will be the first platform to offer in-wallet trading of Ordinals. The Ordinals Protocol enables users to mint tokens that can be traded on the Bitcoin network by embedding data into small Bitcoin-based transactions. This development has brought an equivalent of NFTs and other decentralized finance (DeFi) functions to the Bitcoin ecosystem."
3/8/2024,"Bitcoin(BTC) Surpasses 69,000 USDT with a 3.52% Increase in 24 Hours","On Mar 08, 2024, 15:28 PM(UTC). According to Binance Market Data, Bitcoin has crossed the 69,000 USDT benchmark and is now trading at 69,198.140625 USDT, with a 3.52% increase in 24 hours."
3/8/2024,"BTC Breaks $70,000 FDUSD, Sets New Record High","According to Binance market data, has surpassed the $70,000 mark, reaching an all-time high of $70,070 FDUSD."
3/9/2024,Tesla and SpaceX Hold $1.34B in Bitcoin Across Multiple Wallets,"According to CryptoPotato, Arkham Intelligence has disclosed that Tesla currently holds 11.51K , valued at $780 million, distributed across 68 addresses, while SpaceX possesses 8.29K BTC, totaling $560 million, spread across 28 wallets. These findings are supported by on-chain fund flows that align with financial disclosures from both companies. Tesla made a significant entry into the crypto market with a $1.5 billion BTC purchase in January 2021, followed by two major sales: $272 million in Q1 2021 and $936 million in Q2 2022. Tesla briefly allowed Bitcoin transactions for purchasing vehicles between March 24 and May 12, 2021, as confirmed by its Tesla Intel Exchange Bounty, which revealed a Tesla car acquisition linked to this extensive cluster of its holdings. Tesla began its engagement with Bitcoin by investing $1.5 billion in February 2021, acquiring approximately 43,000 BTC. At the same time, the company announced its acceptance of Bitcoin as a payment method. However, subsequent decisions led to a reversal of this policy, with Tesla reducing its holdings of the premier crypto asset. Tesla's public statements have not acknowledged any changes to its Bitcoin holdings. Even the most recent earnings report, issued in January, makes no mention of the cryptocurrency. In fact, its Q4 report showed that the car manufacturing giant held 9,720 Bitcoin holdings worth $387 million and refrained from buying or selling the asset throughout the quarter. Meanwhile, not much is known about SpaceX's Bitcoin holdings due to its status as a privately held entity. Despite this, the WSJ report revealed that the spacecraft manufacturing firm altered its Bitcoin investments by $373 million between 2021 and 2022, including the divestiture of a certain portion of the asset."
3/9/2024,Bitcoin Whales Hold on to Their Assets Despite BTC Prices Surpassing $70K,"According to Cointelegraph: Bitcoin addresses holding substantial amounts of BTC, otherwise known as ""Bitcoin whales,"" are persisting in their holdings even as Bitcoin values soar past $70,000. Current on-chain data suggests that these large holders are not hasty to sell during this rally, which has propelled Bitcoin to new record highs. Bitcoin addresses with at least 1,000 BTC. Source: LookIntoBitcoin The number of unique addresses possessing at least 1,000 BTC has surged, with 2,104 whales recorded as of March 7. Though this number is still less than February 2021's high of 2,489 addresses, the increasing count points to continued interest from significant stakeholders. This rise could also be linked to the U.S spot Bitcoin exchange-traded funds (ETFs), which exceeded cumulative trading volume of $52.5 billion on March 4. The whales' reticence to offload their Bitcoin holdings at such elevated prices indicates a belief that the market still has room for growth. Large-scale trades have a considerable impact on pricing, making Bitcoin whales an essential market force. Bitcoin whales holding 1,000–10,000 BTC, 1-year change. Source: Julio Moreno on X Data from Glassnode reveals an unprecedented uptick in transfers from exchanges to whales in March, going ""parabolic,"" while transfers from whales to exchanges have seen only a modest increase compared to previous market periods. This data, coupled with the continued demand for BTC from spot Bitcoin ETFs in the U.S, represents an influx of new investors into Bitcoin. This also signifies a lower impulse for profit-taking by affluent investors, even amid peak BTC prices. According to various technical, on-chain, and fundamental indicators, Bitcoin's next significant target might reach around $92,500, setting the stage for more exciting developments in the coming months within the Bitcoin market."
